x,y,z
-0.013644538624833438,-6.6260661362862724e-12,0.0
-0.013728969784456166,-6.537758670856659e-12,0.0
-0.01385657765022574,-6.3981888653001085e-12,0.0
-0.013942621738102295,-6.300381878858197e-12,0.0
-0.014073667560956451,-6.146486353210192e-12,0.0
-0.014162623521024063,-6.0390737811201714e-12,0.0
-0.0142988502303428,-5.870698203157542e-12,0.0
-0.014391726324856191,-5.753602268021254e-12,0.0
-0.01453439181154401,-5.570719324129613e-12,0.0
-0.014631845891222241,-5.4440088802342665e-12,0.0
-0.014781652059753134,-5.2468835357542765e-12,0.0
-0.01488395724857029,-5.1108680114606674e-12,0.0
-0.015041018578275075,-4.900246380236939e-12,0.0
-0.015148055787834808,-4.755694070931182e-12,0.0
-0.015311908226487835,-4.533051141727368e-12,0.0
-0.015423185264407297,-4.380962096852481e-12,0.0
-0.015592833717628053,-4.147842026831121e-12,0.0
-0.015707528608770015,-3.989484377209955e-12,0.0
-0.015881527706694886,-3.748274735577399e-12,0.0
-0.015998552111931384,-3.5854871370069845e-12,0.0
-0.016116158704576222,-3.421509916112049e-12,0.0
-0.016293192170894404,-3.17410108827152e-12,0.0
-0.016411309543070164,-3.008750473639369e-12,0.0
-0.016588070962266093,-2.7610895355784033e-12,0.0
-0.01670531122206391,-2.5968131972529832e-12,0.0
-0.016879725493324147,-2.3526605698726254e-12,0.0
-0.016994730805400114,-2.191994375591439e-12,0.0
-0.017164834280069555,-1.9551540121584472e-12,0.0
-0.017276363440602953,-1.8006113082449035e-12,0.0
-0.017440426545172607,-1.5747849915520455e-12,0.0
-0.01754743069261295,-1.4287648644251436e-12,0.0
-0.01770406056805303,-1.217410721927852e-12,0.0
-0.017805743368525938,-1.082110151529774e-12,0.0
-0.017953960340595553,-8.883505161598253e-13,0.0
-0.018049818366936216,-7.65761266579756e-13,0.0
-0.018189099674812054,-5.922703271231798e-13,0.0
-0.018278943224880734,-4.839192302259042e-13,0.0
-0.01836639893150006,-3.8171614882642177e-13,0.0
-0.01849319671791629,-2.403820575903983e-13,0.0
-0.01857489572887819,-1.543819957854713e-13,0.0
-0.018693404460707407,-3.8085360465114076e-14,0.0
-0.0187698678642016,3.078189557022796e-14,0.0
-0.018881050707942163,1.2079017955494502e-13,0.0
-0.018953028699523637,1.7179806332321826e-13,0.0
-0.01905814906381493,2.3462202348150013e-13,0.0
-0.01912656079821917,2.67289093984294e-13,0.0
-0.019227085290778705,3.023632050013279e-13,0.0
-0.019292950723500263,3.164298472882403e-13,0.0
-0.019390443606698556,3.235505314061144e-13,0.0
-0.019454811424723144,3.1900032208042295e-13,0.0
-0.01955082599418723,2.983140456441933e-13,0.0
-0.019614702536041802,2.7536170589423815e-13,0.0
-0.01971067849494036,2.273779490478924e-13,0.0
-0.01977496294091664,1.8649313386843815e-13,0.0
-0.01987213623768559,1.1211982571179377e-13,0.0
-0.019937566067985094,5.4049921918366524e-14,0.0
-0.02003689672375192,-4.536906735767189e-14,0.0
-0.020104006662053513,-1.1957918975191225e-13,0.0
-0.02017188772982516,-1.9988584830520522e-13,0.0
-0.020275225222775004,-3.312572351224597e-13,0.0
-0.020345149127946254,-4.2573375102078787e-13,0.0
-0.0204515734201928,-5.770431288363481e-13,0.0
-0.02052351612888355,-6.838318338094422e-13,0.0
-0.02063282092261707,-8.521153484074155e-13,0.0
-0.02070653642954553,-9.692514804173603e-13,0.0
